# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  9.33300E+000   2.86192E-026   5.87174E-028   2.80320E-026
  9.44100E+000   2.72294E-026   6.15893E-028   2.66136E-026
  9.55000E+000   2.62824E-026   6.36951E-028   2.56455E-026
  9.66000E+000   2.56615E-026   6.50433E-028   2.50111E-026
  9.77200E+000   2.53055E-026   6.56666E-028   2.46489E-026
  9.88500E+000   2.51850E-026   6.55524E-028   2.45295E-026
  1.00000E+001   2.52902E-026   6.47302E-028   2.46429E-026
  1.01200E+001   2.56527E-026   6.32092E-028   2.50206E-026
  1.02300E+001   2.62457E-026   6.14674E-028   2.56310E-026
  1.03500E+001   2.72605E-026   5.94954E-028   2.66655E-026
  1.04700E+001   2.88414E-026   5.76188E-028   2.82652E-026
  1.05900E+001   3.14484E-026   5.58311E-028   3.08900E-026
  1.07200E+001   3.56595E-026   5.39753E-028   3.51198E-026
  1.08400E+001   4.14370E-026   5.23036E-028   4.09140E-026
  1.09700E+001   5.51460E-026   5.04699E-028   5.46413E-026
