# lambda[um]  lamI_lam_total  lamI_lam_astrodust  lamI_lam_pah
  3.71500E+000   6.87070E-027   1.63226E-028   6.70748E-027
  3.75800E+000   6.85874E-027   1.64562E-028   6.69418E-027
  3.80200E+000   6.86017E-027   1.65986E-028   6.69418E-027
  3.84600E+000   6.87013E-027   1.67449E-028   6.70268E-027
  3.89100E+000   6.88659E-027   1.68820E-028   6.71777E-027
  3.93500E+000   6.90944E-027   1.70206E-028   6.73923E-027
  3.98100E+000   6.93643E-027   1.71711E-028   6.76472E-027
  4.02700E+000   6.96774E-027   1.73174E-028   6.79456E-027
  4.07400E+000   7.00273E-027   1.74637E-028   6.82810E-027
  4.12100E+000   7.04200E-027   1.76152E-028   6.86585E-027
  4.16900E+000   7.08364E-027   1.77654E-028   6.90599E-027
  4.21700E+000   7.13039E-027   1.79209E-028   6.95118E-027
  4.26600E+000   7.18012E-027   1.80848E-028   6.99927E-027
  4.31500E+000   7.23489E-027   1.82441E-028   7.05244E-027
  4.36500E+000   7.29529E-027   1.84132E-028   7.11116E-027
  4.41600E+000   7.36027E-027   1.85796E-028   7.17447E-027
  4.46700E+000   7.43273E-027   1.87520E-028   7.24521E-027
  4.51900E+000   7.51325E-027   1.89315E-028   7.32393E-027
  4.57100E+000   7.60201E-027   1.91072E-028   7.41094E-027
  4.62400E+000   7.70226E-027   1.92912E-028   7.50935E-027
  4.67700E+000   7.81512E-027   1.94686E-028   7.62043E-027
  4.73200E+000   7.94952E-027   1.96573E-028   7.75295E-027
  4.78600E+000   8.10151E-027   1.98375E-028   7.90313E-027
  4.84200E+000   8.29038E-027   2.00191E-028   8.09019E-027
  4.89800E+000   8.52154E-027   2.02046E-028   8.31949E-027
  4.95500E+000   8.82536E-027   2.03868E-028   8.62149E-027
  5.01200E+000   9.24255E-027   2.05637E-028   9.03692E-027
  5.07000E+000   9.88767E-027   2.07382E-028   9.68029E-027
  5.12900E+000   1.10234E-026   2.09117E-028   1.08143E-026
  5.18800E+000   1.32351E-026   2.10787E-028   1.30244E-026
  5.24800E+000   1.66616E-026   2.12430E-028   1.64492E-026
  5.30900E+000   1.65590E-026   2.14064E-028   1.63449E-026
  5.37000E+000   1.43731E-026   2.15629E-028   1.41574E-026
  5.43200E+000   1.37684E-026   2.17186E-028   1.35512E-026
  5.49500E+000   1.45398E-026   2.18811E-028   1.43210E-026
  5.55900E+000   1.68462E-026   2.20331E-028   1.66258E-026
  5.62300E+000   2.17152E-026   2.21784E-028   2.14935E-026
  5.68800E+000   2.80710E-026   2.23243E-028   2.78477E-026
  5.75400E+000   2.68321E-026   2.24661E-028   2.66075E-026
  5.82100E+000   2.39621E-026   2.25974E-028   2.37361E-026
  5.88800E+000   2.48952E-026   2.27350E-028   2.46678E-026
  5.95700E+000   2.98993E-026   2.28718E-028   2.96705E-026
  6.02600E+000   4.13872E-026   2.30058E-028   4.11571E-026
  6.09500E+000   6.79094E-026   2.31262E-028   6.76781E-026
  6.16600E+000   1.30032E-025   2.32583E-028   1.29799E-025
  6.23700E+000   1.67923E-025   2.33770E-028   1.67689E-025
  6.31000E+000   1.01894E-025   2.34964E-028   1.01659E-025
  6.38300E+000   6.31304E-026   2.36153E-028   6.28942E-026
  6.45700E+000   4.93491E-026   2.37335E-028   4.91117E-026
  6.53100E+000   4.63885E-026   2.38404E-028   4.61501E-026
  6.60700E+000   4.82159E-026   2.39518E-028   4.79764E-026
  6.68300E+000   5.06274E-026   2.40559E-028   5.03868E-026
  6.76100E+000   5.07905E-026   2.41912E-028   5.05486E-026
  6.83900E+000   4.98343E-026   2.47911E-028   4.95864E-026
  6.91800E+000   5.03075E-026   2.44657E-028   5.00629E-026
  6.99800E+000   5.34180E-026   2.44650E-028   5.31734E-026
  7.08000E+000   5.95807E-026   2.45549E-028   5.93351E-026
  7.16100E+000   6.87737E-026   2.46510E-028   6.85272E-026
  7.24400E+000   8.18702E-026   2.47433E-028   8.16228E-026
  7.32800E+000   1.00363E-025   2.48236E-028   1.00114E-025
  7.41300E+000   1.28430E-025   2.49117E-028   1.28180E-025
  7.49900E+000   1.72244E-025   2.50005E-028   1.71994E-025
  7.58600E+000   2.16973E-025   2.50742E-028   2.16722E-025
  7.67400E+000   2.21246E-025   2.51563E-028   2.20995E-025
  7.76200E+000   2.15748E-025   2.51603E-028   2.15497E-025
  7.85200E+000   2.09397E-025   2.52745E-028   2.09144E-025
  7.94300E+000   1.74024E-025   2.56234E-028   1.73768E-025
  8.03500E+000   1.31070E-025   2.62490E-028   1.30808E-025
  8.12800E+000   1.02105E-025   2.71482E-028   1.01834E-025
  8.22200E+000   8.73553E-026   2.83932E-028   8.70714E-026
  8.31800E+000   8.20022E-026   3.03566E-028   8.16986E-026
  8.41400E+000   8.32274E-026   3.21853E-028   8.29055E-026
  8.51100E+000   9.52718E-026   3.39200E-028   9.49326E-026
  8.61000E+000   1.06267E-025   3.49511E-028   1.05917E-025
  8.71000E+000   8.50666E-026   3.68205E-028   8.46984E-026
  8.81100E+000   6.03793E-026   4.04228E-028   5.99750E-026
  8.91300E+000   4.62155E-026   4.41022E-028   4.57745E-026
  9.01600E+000   3.83673E-026   4.75247E-028   3.78920E-026
  9.12000E+000   3.36787E-026   5.12317E-028   3.31664E-026
  9.22600E+000   3.06506E-026   5.51189E-028   3.00994E-026
  9.33300E+000   2.86260E-026   5.86903E-028   2.80391E-026
  9.44100E+000   2.72373E-026   6.15614E-028   2.66217E-026
  9.55000E+000   2.62913E-026   6.36667E-028   2.56546E-026
  9.66000E+000   2.56713E-026   6.50149E-028   2.50212E-026
  9.77200E+000   2.53163E-026   6.56386E-028   2.46599E-026
  9.88500E+000   2.51967E-026   6.55251E-028   2.45414E-026
  1.00000E+001   2.53029E-026   6.47039E-028   2.46558E-026
  1.01200E+001   2.56665E-026   6.31842E-028   2.50346E-026
  1.02300E+001   2.62607E-026   6.14436E-028   2.56462E-026
  1.03500E+001   2.72770E-026   5.94730E-028   2.66823E-026
  1.04700E+001   2.88599E-026   5.75978E-028   2.82839E-026
  1.05900E+001   3.14697E-026   5.58113E-028   3.09116E-026
  1.07200E+001   3.56852E-026   5.39568E-028   3.51457E-026
  1.08400E+001   4.14685E-026   5.22863E-028   4.09456E-026
  1.09700E+001   5.51907E-026   5.04538E-028   5.46862E-026
