# DL07 PAH, neutral: the DL07 absorption cross sections (not Mie)
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1823
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_abs
  6.402633E-005  6.309573E-001  4.817421E-005
  6.402633E-005  7.079458E-001  5.405217E-005
  6.402633E-005  7.943282E-001  6.064731E-005
  6.402633E-005  8.912509E-001  6.804712E-005
  6.402633E-005  1.000000E+000  7.634976E-005
  6.402633E-005  1.122018E+000  8.566539E-005
  6.402633E-005  1.258925E+000  9.611759E-005
  6.402633E-005  1.412538E+000  1.078450E-004
  6.402633E-005  1.584893E+000  1.210032E-004
  6.402633E-005  1.778279E+000  1.357667E-004
  6.402633E-005  1.995262E+000  1.523313E-004
  6.402633E-005  2.238721E+000  1.709167E-004
  6.402633E-005  2.511886E+000  1.917695E-004
  6.402633E-005  2.818383E+000  2.151661E-004
  6.402633E-005  3.162278E+000  2.414168E-004
  6.402633E-005  3.548134E+000  2.708698E-004
  6.402633E-005  3.981072E+000  3.039154E-004
  6.402633E-005  4.466836E+000  3.409915E-004
  6.402633E-005  5.011872E+000  3.825892E-004
  6.452913E-005  3.548134E-004  2.795998E-008
  6.452913E-005  3.981072E-004  3.137158E-008
  6.452913E-005  4.466836E-004  3.519945E-008
  6.452913E-005  5.011872E-004  3.949440E-008
  6.452913E-005  5.623413E-004  4.431342E-008
  6.452913E-005  6.309573E-004  4.972044E-008
  6.452913E-005  7.079458E-004  5.578721E-008
  6.452913E-005  7.943282E-004  6.259425E-008
  6.452913E-005  8.912509E-004  7.023187E-008
  6.452913E-005  1.000000E-003  7.880142E-008
  6.452913E-005  1.122018E-003  8.841661E-008
  6.452913E-005  1.258925E-003  9.920503E-008
  6.452913E-005  1.412538E-003  1.113098E-007
  6.452913E-005  1.584893E-003  1.248917E-007
  6.452913E-005  1.778279E-003  1.401307E-007
  6.452913E-005  1.995262E-003  1.572292E-007
  6.452913E-005  2.238721E-003  1.764140E-007
  6.452913E-005  2.511886E-003  1.979398E-007
  6.452913E-005  2.818383E-003  2.220920E-007
  6.452913E-005  3.162278E-003  2.491913E-007
  6.452913E-005  3.548134E-003  2.795972E-007
  6.452913E-005  3.981072E-003  3.137132E-007
  6.452913E-005  4.466836E-003  3.519920E-007
  6.452913E-005  5.011872E-003  3.949415E-007
  6.452913E-005  5.623413E-003  4.431316E-007
  6.452913E-005  6.309573E-003  4.972017E-007
  6.452913E-005  7.079458E-003  5.578695E-007
  6.452913E-005  7.943282E-003  6.259398E-007
  6.452913E-005  8.912509E-003  7.023159E-007
  6.452913E-005  1.000000E-002  7.880113E-007
  6.452913E-005  1.122018E-002  8.841632E-007
  6.452913E-005  1.258925E-002  9.920473E-007
  6.452913E-005  1.412538E-002  1.113095E-006
  6.452913E-005  1.584893E-002  1.248913E-006
  6.452913E-005  1.778279E-002  1.401304E-006
  6.452913E-005  1.995262E-002  1.572288E-006
  6.452913E-005  2.238721E-002  1.764136E-006
  6.452913E-005  2.511886E-002  1.979393E-006
  6.452913E-005  2.818383E-002  2.220915E-006
  6.452913E-005  3.162278E-002  2.491908E-006
  6.452913E-005  3.548134E-002  2.795966E-006
  6.452913E-005  3.981072E-002  3.137125E-006
  6.452913E-005  4.466836E-002  3.519911E-006
  6.452913E-005  5.011872E-002  3.949404E-006
  6.452913E-005  5.623413E-002  4.431303E-006
  6.452913E-005  6.309573E-002  4.972002E-006
  6.452913E-005  7.079458E-002  5.578676E-006
  6.452913E-005  7.943282E-002  6.259375E-006
  6.452913E-005  8.912509E-002  7.023132E-006
  6.452913E-005  1.000000E-001  7.880080E-006
  6.452913E-005  1.122018E-001  8.841590E-006
  6.452913E-005  1.258925E-001  9.920421E-006
  6.452913E-005  1.412538E-001  1.113089E-005
  6.452913E-005  1.584893E-001  1.248905E-005
  6.452913E-005  1.778279E-001  1.401293E-005
  6.452913E-005  1.995262E-001  1.572276E-005
  6.452913E-005  2.238721E-001  1.764120E-005
  6.452913E-005  2.511886E-001  1.979373E-005
  6.452913E-005  2.818383E-001  2.220890E-005
  6.452913E-005  3.162278E-001  2.491876E-005
  6.452913E-005  3.548134E-001  2.795926E-005
  6.452913E-005  3.981072E-001  3.137075E-005
  6.452913E-005  4.466836E-001  3.519848E-005
  6.452913E-005  5.011872E-001  3.949325E-005
  6.452913E-005  5.623413E-001  4.431203E-005
  6.452913E-005  6.309573E-001  4.971877E-005
  6.452913E-005  7.079458E-001  5.578519E-005
  6.452913E-005  7.943282E-001  6.259177E-005
  6.452913E-005  8.912509E-001  7.022882E-005
  6.452913E-005  1.000000E+000  7.879765E-005
  6.452913E-005  1.122018E+000  8.841194E-005
  6.452913E-005  1.258925E+000  9.919923E-005
  6.452913E-005  1.412538E+000  1.113026E-004
  6.452913E-005  1.584893E+000  1.248826E-004
  6.452913E-005  1.778279E+000  1.401194E-004
  6.452913E-005  1.995262E+000  1.572150E-004
  6.452913E-005  2.238721E+000  1.763963E-004
  6.452913E-005  2.511886E+000  1.979175E-004
  6.452913E-005  2.818383E+000  2.220641E-004
  6.452913E-005  3.162278E+000  2.491562E-004
  6.452913E-005  3.548134E+000  2.795533E-004
  6.452913E-005  3.981072E+000  3.136581E-004
  6.452913E-005  4.466836E+000  3.519226E-004
  6.452913E-005  5.011872E+000  3.948534E-004
  6.503588E-005  3.548134E-004  2.882183E-008
  6.503588E-005  3.981072E-004  3.233859E-008
  6.503588E-005  4.466836E-004  3.628446E-008
  6.503588E-005  5.011872E-004  4.071180E-008
  6.503588E-005  5.623413E-004  4.567936E-008
  6.503588E-005  6.309573E-004  5.125305E-008
  6.503588E-005  7.079458E-004  5.750683E-008
  6.503588E-005  7.943282E-004  6.452369E-008
  6.503588E-005  8.912509E-004  7.239674E-008
  6.503588E-005  1.000000E-003  8.123045E-008
  6.503588E-005  1.122018E-003  9.114202E-008
  6.503588E-005  1.258925E-003  1.022630E-007
  6.503588E-005  1.412538E-003  1.147409E-007
  6.503588E-005  1.584893E-003  1.287414E-007
  6.503588E-005  1.778279E-003  1.444502E-007
  6.503588E-005  1.995262E-003  1.620758E-007
  6.503588E-005  2.238721E-003  1.818520E-007
  6.503588E-005  2.511886E-003  2.040412E-007
  6.503588E-005  2.818383E-003  2.289380E-007
  6.503588E-005  3.162278E-003  2.568726E-007
  6.503588E-005  3.548134E-003  2.882157E-007
  6.503588E-005  3.981072E-003  3.233833E-007
  6.503588E-005  4.466836E-003  3.628420E-007
