# DL07 graphite: Mie on the D03 graphite dielectric functions, 1/3 E||c + 2/3 E-perp-c
# a_eff stride: every 1 of 84
# lambda stride: every 1 of 1129
# Written by sed/make_qtable.x from this tree's own optics
#   routines; see src/make_qtable.f90 for the grids and inputs.
#   lambda[um]     a_eff[um]      Q_ext         Q_abs          Q_sca         albedo         g
  9.550000E-002  2.511886E-001  2.360249E+000  8.762794E-001  1.483969E+000  6.287343E-001  7.793813E-001
  9.550000E-002  2.818383E-001  2.334855E+000  8.581378E-001  1.476717E+000  6.324663E-001  7.802376E-001
  9.550000E-002  3.162278E-001  2.311008E+000  8.413518E-001  1.469656E+000  6.359373E-001  7.808731E-001
  9.550000E-002  3.548134E-001  2.288648E+000  8.258386E-001  1.462810E+000  6.391588E-001  7.813239E-001
  9.550000E-002  3.981072E-001  2.267713E+000  8.115192E-001  1.456194E+000  6.421420E-001  7.816202E-001
  9.550000E-002  4.466836E-001  2.248139E+000  7.983185E-001  1.449820E+000  6.448981E-001  7.817881E-001
  9.550000E-002  5.011872E-001  2.229861E+000  7.861644E-001  1.443697E+000  6.474379E-001  7.818495E-001
  9.550000E-002  5.623413E-001  2.212814E+000  7.749883E-001  1.437826E+000  6.497726E-001  7.818230E-001
  9.550000E-002  6.309573E-001  2.196935E+000  7.647244E-001  1.432210E+000  6.519130E-001  7.817245E-001
  9.550000E-002  7.079458E-001  2.182159E+000  7.553102E-001  1.426849E+000  6.538702E-001  7.815676E-001
  9.550000E-002  7.943282E-001  2.168424E+000  7.466862E-001  1.421737E+000  6.556548E-001  7.813638E-001
  9.550000E-002  8.912509E-001  2.155668E+000  7.387957E-001  1.416873E+000  6.572777E-001  7.811228E-001
  9.550000E-002  1.000000E+000  2.143833E+000  7.315848E-001  1.412249E+000  6.587492E-001  7.808530E-001
  9.550000E-002  1.122018E+000  2.132861E+000  7.250026E-001  1.407859E+000  6.600798E-001  7.805615E-001
  9.550000E-002  1.258925E+000  2.122697E+000  7.190010E-001  1.403696E+000  6.612795E-001  7.802541E-001
  9.550000E-002  1.412538E+000  2.113287E+000  7.135346E-001  1.399752E+000  6.623579E-001  7.799361E-001
  9.550000E-002  1.584893E+000  2.104581E+000  7.085608E-001  1.396020E+000  6.633245E-001  7.796115E-001
  9.550000E-002  1.778279E+000  2.096531E+000  7.040396E-001  1.392491E+000  6.641883E-001  7.792841E-001
  9.550000E-002  1.995262E+000  2.089090E+000  6.999335E-001  1.389157E+000  6.649578E-001  7.789566E-001
  9.550000E-002  2.238721E+000  2.082216E+000  6.962077E-001  1.386009E+000  6.656410E-001  7.786317E-001
  9.550000E-002  2.511886E+000  2.075868E+000  6.928298E-001  1.383038E+000  6.662457E-001  7.783114E-001
  9.550000E-002  2.818383E+000  2.070007E+000  6.897696E-001  1.380238E+000  6.667791E-001  7.779972E-001
  9.550000E-002  3.162278E+000  2.064598E+000  6.869993E-001  1.377599E+000  6.672479E-001  7.776905E-001
  9.550000E-002  3.548134E+000  2.059606E+000  6.844931E-001  1.375113E+000  6.676583E-001  7.773923E-001
  9.550000E-002  3.981072E+000  2.055001E+000  6.822272E-001  1.372774E+000  6.680161E-001  7.771035E-001
  9.550000E-002  4.466836E+000  2.050753E+000  6.801799E-001  1.370573E+000  6.683267E-001  7.768246E-001
  9.550000E-002  5.011872E+000  2.046834E+000  6.783310E-001  1.368503E+000  6.685951E-001  7.765561E-001
  9.661000E-002  3.548134E-004  4.824041E-002  4.823975E-002  6.591834E-007  1.366455E-005  6.873255E-005
  9.661000E-002  3.981072E-004  5.413710E-002  5.413605E-002  1.044848E-006  1.930005E-005  8.652331E-005
  9.661000E-002  4.466836E-004  6.075761E-002  6.075595E-002  1.656198E-006  2.725911E-005  1.089172E-004
  9.661000E-002  5.011872E-004  6.819207E-002  6.818945E-002  2.625344E-006  3.849925E-005  1.371043E-004
  9.661000E-002  5.623413E-004  7.654234E-002  7.653818E-002  4.161776E-006  5.437221E-005  1.725815E-004
