# THEMIS (Jones et al. 2013 / Koehler et al. 2014) model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_CM20_plaw-ed/NH  lamI_CM20_logn/NH  lamI_aPyM5/NH  lamI_aOlM5/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  1.615300E+00  4.38524635E-027  4.38524618E-027  1.70205739E-034  4.66987373E-041  4.93542912E-041
  1.641800E+00  4.44558095E-027  4.44558077E-027  1.81067296E-034  7.12503926E-041  7.52811634E-041
  1.668800E+00  4.51372428E-027  4.51372408E-027  1.92939711E-034  1.08031751E-040  1.14119505E-040
  1.696200E+00  4.57397506E-027  4.57397485E-027  2.05351744E-034  1.62360217E-040  1.71465889E-040
  1.724000E+00  4.64506586E-027  4.64506564E-027  2.18935293E-034  2.42182207E-040  2.55718474E-040
  1.752400E+00  4.70768488E-027  4.70768464E-027  2.33189239E-034  3.59095595E-040  3.79090775E-040
  1.781100E+00  4.77733387E-027  4.77733362E-027  2.48546115E-034  5.27655844E-040  5.56932135E-040
  1.810400E+00  4.84138065E-027  4.84138038E-027  2.64734789E-034  7.70806814E-040  8.13429943E-040
  1.840100E+00  4.90875870E-027  4.90875842E-027  2.82025869E-034  1.11723320E-039  1.17881522E-039
  1.870400E+00  4.97343110E-027  4.97343080E-027  3.00343971E-034  1.61005275E-039  1.69853194E-039
  1.901100E+00  5.03727295E-027  5.03727263E-027  3.19683449E-034  2.30174822E-039  2.42787943E-039
  1.932300E+00  5.10199758E-027  5.10199724E-027  3.40212725E-034  3.26861088E-039  3.44738842E-039
  1.964100E+00  5.16198814E-027  5.16198777E-027  3.61779529E-034  4.61440068E-039  4.86595162E-039
  1.996300E+00  5.22610059E-027  5.22610021E-027  3.84743897E-034  6.46551531E-039  6.81745667E-039
  2.029100E+00  5.28171747E-027  5.28171706E-027  4.08611379E-034  9.00350234E-039  9.49253641E-039
  2.062400E+00  5.34544983E-027  5.34544939E-027  4.34263168E-034  1.24615451E-038  1.31370600E-038
  2.096300E+00  5.39871559E-027  5.39871513E-027  4.60802286E-034  1.71386296E-038  1.80659548E-038
  2.130700E+00  5.45982498E-027  5.45982449E-027  4.89247141E-034  2.34278536E-038  2.46945932E-038
  2.165700E+00  5.51317531E-027  5.51317479E-027  5.18807748E-034  3.18290557E-038  3.35455934E-038
  2.201300E+00  5.57061452E-027  5.57061397E-027  5.50312274E-034  4.30069257E-038  4.53255638E-038
  2.237500E+00  5.62406603E-027  5.62406545E-027  5.83322136E-034  5.77700299E-038  6.08807414E-038
  2.274200E+00  5.67848416E-027  5.67848354E-027  6.18147257E-034  7.71008522E-038  8.12479266E-038
  2.311600E+00  5.73381186E-027  5.73381120E-027  6.55033566E-034  1.02401358E-037  1.07904091E-037
  2.349600E+00  5.78654283E-027  5.78654214E-027  6.93795482E-034  1.35204827E-037  1.42473663E-037
  2.388100E+00  5.84535460E-027  5.84535386E-027  7.35039602E-034  1.77447596E-037  1.86968746E-037
  2.427400E+00  5.89827643E-027  5.89827565E-027  7.78325886E-034  2.31794956E-037  2.44242520E-037
  2.467200E+00  5.96380738E-027  5.96380655E-027  8.24833535E-034  3.01061122E-037  3.17245684E-037
  2.507800E+00  6.02120407E-027  6.02120320E-027  8.73499567E-034  3.89128981E-037  4.10044270E-037
  2.549000E+00  6.09679541E-027  6.09679449E-027  9.26199924E-034  5.00532075E-037  5.27392770E-037
  2.590800E+00  6.16744357E-027  6.16744258E-027  9.81340565E-034  6.39895508E-037  6.74290773E-037
  2.633400E+00  6.25663334E-027  6.25663230E-027  1.04103712E-033  8.15004023E-037  8.58822120E-037
  2.676600E+00  6.35135191E-027  6.35135081E-027  1.10419556E-033  1.03198902E-036  1.08759030E-036
  2.720600E+00  6.46611030E-027  6.46610913E-027  1.17226716E-033  1.30143721E-036  1.37159228E-036
  2.765300E+00  6.60690392E-027  6.60690267E-027  1.24524899E-033  1.63335694E-036  1.72146584E-036
  2.810700E+00  6.77085979E-027  6.77085846E-027  1.32346602E-033  2.04009027E-036  2.15024920E-036
  2.856900E+00  7.01003898E-027  7.01003757E-027  1.40882450E-033  2.53795087E-036  2.67520730E-036
  2.903800E+00  7.27807494E-027  7.27807344E-027  1.49995932E-033  3.14152090E-036  3.31167031E-036
  2.951500E+00  7.77121589E-027  7.77121428E-027  1.60237147E-033  3.87543469E-036  4.08573245E-036
  3.000000E+00  8.29799137E-027  8.29798965E-027  1.71160259E-033  4.75823033E-036  5.01690294E-036
  3.015900E+00  8.57411001E-027  8.57410825E-027  1.75083778E-033  5.08258122E-036  5.35908019E-036
  3.032000E+00  8.90362322E-027  8.90362141E-027  1.79212517E-033  5.42978559E-036  5.72539525E-036
  3.048100E+00  9.29959280E-027  9.29959095E-027  1.83542312E-033  5.79681998E-036  6.11256270E-036
  3.064300E+00  9.78417989E-027  9.78417799E-027  1.88143437E-033  6.18725980E-036  6.52460169E-036
  3.080600E+00  1.03851856E-026  1.03851837E-026  1.93056646E-033  6.60300350E-036  6.96321719E-036
  3.096900E+00  1.11468960E-026  1.11468940E-026  1.98371327E-033  7.04326307E-036  7.42787497E-036
  3.113400E+00  1.21336926E-026  1.21336906E-026  2.04264804E-033  7.51605242E-036  7.92671426E-036
  3.130000E+00  1.34583607E-026  1.34583586E-026  2.10941398E-033  8.02248727E-036  8.46107157E-036
  3.146600E+00  1.52623229E-026  1.52623207E-026  2.18666800E-033  8.56396617E-036  9.03243814E-036
  3.163300E+00  1.78385086E-026  1.78385063E-026  2.28089354E-033  9.15119759E-036  9.65220886E-036
  3.180100E+00  2.17174907E-026  2.17174883E-026  2.40302760E-033  9.79755552E-036  1.03342690E-035
  3.197000E+00  2.78169011E-026  2.78168985E-026  2.57242880E-033  1.05260419E-035  1.11031364E-035
  3.214000E+00  3.84755536E-026  3.84755507E-026  2.83759479E-033  1.13922731E-035  1.20175055E-035
  3.231100E+00  5.81699411E-026  5.81699378E-026  3.29326838E-033  1.25079533E-035  1.31948981E-035
  3.248300E+00  9.80383367E-026  9.80383325E-026  4.17597282E-033  1.41537773E-035  1.49318898E-035
  3.265500E+00  1.65331606E-025  1.65331600E-025  5.65635064E-033  1.65811317E-035  1.74935023E-035
  3.282900E+00  1.93713976E-025  1.93713970E-025  6.36270084E-033  1.83025899E-035  1.93105495E-035
  3.300300E+00  1.31878529E-025  1.31878524E-025  5.14256906E-033  1.77848305E-035  1.87647719E-035
  3.317900E+00  8.02466835E-026  8.02466794E-026  4.10697412E-033  1.74219105E-035  1.83824276E-035
  3.335500E+00  5.89043604E-026  5.89043567E-026  3.71580605E-033  1.78524085E-035  1.88373459E-035
  3.353200E+00  5.91401409E-026  5.91401371E-026  3.80421457E-033  1.89726745E-035  2.00201865E-035
  3.371100E+00  9.14925787E-026  9.14925740E-026  4.64079993E-033  2.13050120E-035  2.24820423E-035
  3.389000E+00  9.07957199E-026  9.07957151E-026  4.75413981E-033  2.26854189E-035  2.39396428E-035
  3.407000E+00  9.36583140E-026  9.36583089E-026  5.04553810E-033  2.46573686E-035  2.60214916E-035
