# Guillet et al. (2018) Model D model SED (this work), Mathis ISRF U =  1.00
# solver = heuristic
# columns: lambda[um]  lamI_total/NH  lamI_PAH0_MC10/NH  lamI_amCBE_0.3333x/NH  lamI_aSil2001BE6pctG_0.4x/NH
#          [erg s^-1 cm^-2 sr^-1 H^-1]
  2.856900E+00  2.24195252E-027  2.24195252E-027  1.89816320E-040  1.30105826E-051
  2.903800E+00  2.34732702E-027  2.34732702E-027  3.53542762E-040  2.98395334E-051
  2.951500E+00  2.48584592E-027  2.48584592E-027  6.52151777E-040  6.77148360E-051
  3.000000E+00  2.68236247E-027  2.68236247E-027  1.19303293E-039  1.52171485E-050
  3.015900E+00  2.76623998E-027  2.76623998E-027  1.44797945E-039  1.97421031E-050
  3.032000E+00  2.86470764E-027  2.86470764E-027  1.75794244E-039  2.56329443E-050
  3.048100E+00  2.98098582E-027  2.98098582E-027  2.12975060E-039  3.31999689E-050
  3.064300E+00  3.12065791E-027  3.12065791E-027  2.57793515E-039  4.29651830E-050
  3.080600E+00  3.29152192E-027  3.29152192E-027  3.11758456E-039  5.55574716E-050
  3.096900E+00  3.50382671E-027  3.50382671E-027  3.76242958E-039  7.16749401E-050
  3.113400E+00  3.77392751E-027  3.77392751E-027  4.54170837E-039  9.25462246E-050
  3.130000E+00  4.12568812E-027  4.12568812E-027  5.47739028E-039  1.19402894E-049
  3.146600E+00  4.59652344E-027  4.59652344E-027  6.59243671E-039  1.53706238E-049
  3.163300E+00  5.24890047E-027  5.24890047E-027  7.92721282E-039  1.97715115E-049
  3.180100E+00  6.19092836E-027  6.19092836E-027  9.52350322E-039  2.54137169E-049
  3.197000E+00  7.62290854E-027  7.62290854E-027  1.14308320E-038  3.26413640E-049
  3.214000E+00  9.94873415E-027  9.94873415E-027  1.37047639E-038  4.18910285E-049
  3.231100E+00  1.40754462E-026  1.40754462E-026  1.64079075E-038  5.37102247E-049
  3.248300E+00  2.23362215E-026  2.23362215E-026  1.96265911E-038  6.88115468E-049
  3.265500E+00  4.18111258E-026  4.18111258E-026  2.34300957E-038  8.79691731E-049
  3.282900E+00  9.48666008E-026  9.48666008E-026  2.79735923E-038  1.12531629E-048
  3.300300E+00  1.65965735E-025  1.65965735E-025  3.33339220E-038  1.43636910E-048
  3.317900E+00  9.37181503E-026  9.37181503E-026  3.97237483E-038  1.83465669E-048
  3.335500E+00  4.23673897E-026  4.23673897E-026  4.72476670E-038  2.33851763E-048
  3.353200E+00  2.32367185E-026  2.32367185E-026  5.61439050E-038  2.97870391E-048
